id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,season
872,Peter Crouch,27,1319,7,5.874591821338981,2,3.2038370687514544,37,17,3,0,F S,Stoke,7,5.874591821338981,7.918542893603444,1.76161540299654,2016
1682,Islam Slimani,23,1275,7,6.823915811255574,4,2.0667077153921127,35,17,1,0,F S,Leicester,6,6.062746794894338,7.707016736268997,2.0830835541710258,2016
1691,Robert Snodgrass,35,2563,7,4.383588116616011,5,4.324671380221844,50,61,2,0,F M S,"Hull,West Ham",5,2.861250091344118,5.55282723903656,3.4333369340747595,2016
5543,Gabriel Jesus,10,649,7,7.243854932487011,4,1.890662670135498,24,10,2,0,F M S,Manchester City,6,6.48272293061018,8.800843104720116,1.1323138177394867,2016
447,Kevin De Bruyne,36,2893,6,6.771996311843395,18,15.888654900714755,86,103,4,0,F M S,Manchester City,6,6.010865323245525,28.54269857145846,15.754017719998956,2016
468,Callum Wilson,20,1382,6,5.36559328250587,0,0.5500716008245945,31,8,0,0,F S,Bournemouth,3,3.0820868369191885,4.324739621952176,0.8914686851203442,2016
480,Joe Allen,36,2942,6,5.681928737089038,2,4.653242416679859,40,28,9,0,M S,Stoke,6,5.681928737089038,13.03703667782247,6.203425923362374,2016
554,Juan Mata,25,1641,6,5.665137184783816,3,4.540481245145202,40,45,3,0,F M S,Manchester United,6,5.665137184783816,11.835167105309665,6.035137891769409,2016
699,Gary Cahill,37,3299,6,3.2974409023299813,0,0.17101850360631943,24,5,5,0,D S,Chelsea,6,3.2974409023299813,7.968183062970638,7.805242931470275,2016
711,Leroy Fer,34,2393,6,5.205665404908359,2,1.0550480000674725,36,18,9,0,D M S,Swansea,6,5.205665404908359,7.079867891967297,4.92977986112237,2016
713,André Ayew,25,1432,6,7.654208952561021,3,2.3669463582336903,33,15,1,0,F M S,West Ham,6,7.654208952561021,9.077346838079393,1.3524769023060799,2016
750,Riyad Mahrez,36,2859,6,8.950818019919097,3,6.248245885595679,76,52,4,0,F M S,Leicester,3,5.144971984438598,12.870516391471028,4.793384972028434,2016
